metadataId,imageRef,name,curator,artist,prompt,description
1,1.jpg,Higher States of Being  - Vol 2 #001,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
2,2.jpg,Higher States of Being  - Vol 2 #002,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
3,3.jpg,Higher States of Being  - Vol 2 #003,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
4,4.jpg,Higher States of Being  - Vol 2 #004,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
5,5.jpg,Higher States of Being  - Vol 2 #005,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
6,6.jpg,Higher States of Being  - Vol 2 #006,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
7,7.jpg,Higher States of Being  - Vol 2 #007,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
8,8.jpg,Higher States of Being  - Vol 2 #008,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
9,9.jpg,Higher States of Being  - Vol 2 #009,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
10,10.jpg,Higher States of Being  - Vol 2 #010,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
11,11.jpg,Higher States of Being  - Vol 2 #011,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
12,12.jpg,Higher States of Being  - Vol 2 #012,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
13,13.jpg,Higher States of Being  - Vol 2 #013,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
14,14.jpg,Higher States of Being  - Vol 2 #014,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
15,15.jpg,Higher States of Being  - Vol 2 #015,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
16,16.jpg,Higher States of Being  - Vol 2 #016,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
17,17.jpg,Higher States of Being  - Vol 2 #017,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
18,18.jpg,Higher States of Being  - Vol 2 #018,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
19,19.jpg,Higher States of Being  - Vol 2 #019,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
20,20.jpg,Higher States of Being  - Vol 2 #020,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
21,21.jpg,Higher States of Being  - Vol 2 #021,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
22,22.jpg,Higher States of Being  - Vol 2 #022,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
23,23.jpg,Higher States of Being  - Vol 2 #023,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
24,24.jpg,Higher States of Being  - Vol 2 #024,agrimony.eth,agrimony.eth,"stylish astronaut wearing a space helmet and a [clothing], facing half right. Rendered in a cyberpunk brush style with slightly reduced color fidelity, showcasing more muted neon colors and softer dynamic strokes, yet maintaining the futuristic and gritty aesthetic. The soft fabric contrasts with the sleek, reflective surface of the helmet, set against a dark background that subtly enhances the colors and stylistic shading, creating a moody and atmospheric effect. The astronaut gazes wistfully up, both representing a longing to be free of this world and to go higher","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
